log,scen,cell,var,run,worst35,lift_s,az_liftoff,status,P15_before,P15_after,mean0_10,mean10_35,az_at_rel,az_peak,az_final,t80,err_at_rel,overshoot,alt_drop20,alt_exc35
s1_pre_0.30_v3_r0,S1,pre 0.30,3,0,0.5116675811674213,4.327435000000008,-0.04,ok,,,0.22848062171523892,0.1806979726353174,0.0,0.0,-0.01,nan,,,,
s1_pre_0.30_v3_r1,S1,pre 0.30,3,1,0.4985738838324282,4.299945999999991,-0.03,ok,,,0.23468566108091557,0.1802221653425397,0.0,0.0,-0.01,nan,,,,
s1_pre_0.30_v3_r2,S1,pre 0.30,3,2,0.4926571506075561,4.299946000000006,-0.03,ok,,,0.23385700854874053,0.18077196706096005,0.0,0.0,-0.01,nan,,,,
s2_0.05_v1_r0,S2,step 0.05,1,0,,,,ok,5.000000058430487e-08,6.242117706278805e-06,0.3675072910032793,0.04563970887495569,0.0,0.12,0.05,0.7971809999999948,-0.542903482560034,0.05313475706233832,0.7274006998339715,0.7308956791821757
s2_0.05_v1_r1,S2,step 0.05,1,1,,,,ok,5.000000058430487e-08,6.209452749317279e-06,0.10905729436017882,0.023006437997441502,0.0,0.09,0.05,0.9971009999999865,-0.348590610824652,0.04242169867512004,0.38379017875904964,0.38379017875904964
s2_0.05_v1_r2,S2,step 0.05,1,2,,,,ok,5.000000058430487e-08,6.238780315470649e-06,0.11016512740982586,0.03734383701747706,0.0,0.09999999999999999,0.05,0.9971010000000149,-0.33220549653779025,0.05892470380687158,0.3888500624143916,0.3888500624143916
s2_0.05_v2_r0,S2,step 0.05,2,0,,,,ok,5.000000058430487e-08,5.000000058430487e-08,0.6631456619621293,0.17573171872166377,0.0,0.04,0.04,nan,-0.5378374219635428,0.0,0.4127518684237401,0.5654760253200237
s2_0.05_v2_r1,S2,step 0.05,2,1,,,,ok,5.000000058430487e-08,5.000000058430487e-08,0.3843545522604709,0.08927360420697375,1.734723475976807e-18,0.04,0.04000000000000001,nan,-0.41250177111236874,0.0,-0.03580504978338439,0.540300814842162
s2_0.05_v2_r2,S2,step 0.05,2,2,,,,ok,5.000000058430487e-08,5.000000058430487e-08,0.34809404193958726,0.0900192566564767,0.0,0.04,0.04,nan,-0.3171213902971545,0.0,0.12580561293376036,0.32565142157935156
s2_0.05_v3_r0,S2,step 0.05,3,0,,,,ok,,,0.2962421176177469,0.13155180475204656,0.02,0.04,0.04,nan,-0.2450546865727377,0.0,0.16538013086131542,0.28001186123004373
s2_0.05_v3_r1,S2,step 0.05,3,1,,,,ok,,,0.19348423405053894,0.09785530399052217,0.01,0.04,0.04,nan,-0.1859097869806497,0.0,-0.06253499812532937,0.5244817700745585
s2_0.05_v3_r2,S2,step 0.05,3,2,,,,ok,,,0.12203921927649823,0.08365276645070262,0.020000000000000004,0.04,0.04,nan,-0.14375658992508936,0.0,-0.130774719614422,1.1369173351739406
s2_0.15_v1_r0,S2,step 0.15,1,0,,,,ok,5.000000058430487e-08,6.2432236518361606e-06,0.4575727858097515,0.1086186517312847,0.0,0.34,0.15000000000000002,0.7971809999999948,-1.3669816312753644,0.18655166374672244,2.0918178662511338,2.0918178662511338
s2_0.15_v1_r1,S2,step 0.15,1,1,,,,ok,5.000000058430487e-08,6.248130830499576e-06,0.40133059871612786,0.10284631112393693,0.0,0.33,0.15000000000000002,0.7980139999999949,-1.2293878656743733,0.17141956018647903,1.307876399973324,1.307876399973324
s2_0.15_v1_r2,S2,step 0.15,1,2,,,,ok,5.000000058430487e-08,6.222358024388086e-06,0.3657189270200245,0.02125114800566913,0.0,0.22,0.15000000000000002,1.1970210000000066,-1.234363350182219,0.058015746298882995,-0.26264691702090204,3.453840541689715
s2_0.15_v2_r0,S2,step 0.15,2,0,,,,ok,5.000000058430487e-08,5.000000058430487e-08,2.1009736794654423,0.5377031777271234,0.0,0.14,0.1326,15.497964999999994,-1.7412061057440487,0.0,1.4181508035798984,1.8808613695709724
s2_0.15_v2_r1,S2,step 0.15,2,1,,,,ok,5.000000058430487e-08,5.000000058430487e-08,1.2220158469493667,0.25937975984309936,1.734723475976807e-18,0.14,0.13145833333333334,16.29764499999999,-1.3138866358127435,0.0,1.3621795491539643,1.5674375757939316
s2_0.15_v2_r2,S2,step 0.15,2,2,,,,ok,5.000000058430487e-08,5.000000058430487e-08,1.0329255084268876,0.29156212364165895,0.0,0.13,0.13,18.797478000000012,-1.1323535231602144,0.0,0.2502048989682075,1.1446203404731135
s2_0.15_v3_r0,S2,step 0.15,3,0,,,,ok,,,0.5081153262952449,0.2968537138937879,0.060000000000000005,0.13,0.13,19.244799,-0.5603257632463294,0.0,-0.0035603085918438637,0.3362986786288502
s2_0.15_v3_r1,S2,step 0.15,3,1,,,,ok,,,0.5675063472316874,0.27537937462796563,0.060000000000000005,0.13,0.13,17.767056999999994,-0.5729461639032056,0.0,-0.03982946404429555,0.5348655260478026
s2_0.15_v3_r2,S2,step 0.15,3,2,,,,ok,,,0.5126546743346606,0.23953876590442497,0.06999999999999999,0.14,0.13191489361702127,15.789515000000023,-0.5031168598754164,0.0,-0.0025545386597514153,0.7110117818036699
s2_0.15_v4_r0,S2,step 0.15,4,0,,,,ok,5.000000058430487e-08,3.901915306414594e-07,1.5921198280314814,0.14470458964020055,0.0,0.18000000000000002,0.15000000000000002,3.19788699999998,-1.7691528450186191,0.0937778066082393,2.1910016655597104,2.2449411437503315
s2_0.15_v4_r1,S2,step 0.15,4,1,,,,ok,5.000000058430487e-08,3.9017746189529134e-07,0.7466773094729785,0.06070911326988807,1.734723475976807e-18,0.17,0.15000000000000002,3.497766999999982,-1.3244719590835838,0.1067051262628913,1.84855510274123,1.84855510274123
s2_0.15_v4_r2,S2,step 0.15,4,2,,,,ok,5.000000058430487e-08,3.8988187611721514e-07,0.7204885019512327,0.0586033798367436,0.0,0.17,0.15000000000000002,3.5977270000000203,-1.2548606437775223,0.10108490513970662,1.6538802499690703,1.6538802499690703
s2_0.30_v1_r0,S2,step 0.30,1,0,,,,ok,5.000000058430487e-08,6.241260052775033e-06,0.821366060501437,0.15926900470965147,0.0,0.6,0.3,0.7971809999999948,-2.547797895630084,0.2850749254157541,3.6581308012609455,3.6581308012609455
s2_0.30_v1_r1,S2,step 0.30,1,1,,,,ok,5.000000058430487e-08,6.242378276510863e-06,2.0323558497108194,0.24117739816093886,0.00025000000000003665,0.73,0.304375,0.7971809999999948,-2.990772497892659,0.2658598673884625,3.889657528211522,3.9105160913553476
s2_0.30_v1_r2,S2,step 0.30,1,2,,,,ok,5.000000058430487e-08,6.226875939319143e-06,1.9787336413086618,0.2431093212418099,0.0,0.72,0.30340425531914883,0.7980139999999949,-2.8583465776099075,0.273161538192352,3.7278664223336975,3.747661487524205
s2_0.30_v2_r0,S2,step 0.30,2,0,,,,ok,5.000000058430487e-08,5.000000058430487e-08,3.650416626574655,1.0630086941091148,0.0,0.28,0.2722,16.29764499999999,-2.7033749162353145,0.0,1.5602894117204542,2.481335899633301
s2_0.30_v2_r1,S2,step 0.30,2,1,,,,ok,5.000000058430487e-08,5.000000058430487e-08,3.855184271121423,1.0657537959839796,0.0,0.28,0.273,15.897805000000005,-3.05495723621167,0.0,2.2429405989224023,3.1731512537208317
s2_0.30_v2_r2,S2,step 0.30,2,2,,,,ok,5.000000058430487e-08,5.000000058430487e-08,3.6626145453100905,1.055439030576018,0.0,0.28,0.2726,16.197685000000007,-2.73859972754074,0.0,1.838904615595105,2.770493002693705
s2_0.30_v3_r0,S2,step 0.30,3,0,,,,ok,,,1.7091388879961025,0.7869425197471875,0.14,0.28,0.2726,15.65456899999998,-1.3992420840610875,0.0,0.7834179610956369,1.460717072575079
s2_0.30_v3_r1,S2,step 0.30,3,1,,,,ok,,,1.107360558242341,0.5342493555007775,0.13,0.28,0.2704255319148936,16.917397000000022,-1.176169388285357,0.0,0.2063893266912089,0.7202758827350806
s2_0.30_v3_r2,S2,step 0.30,3,2,,,,ok,,,0.8848011274910146,0.4980213589766633,0.14,0.28,0.27212765957446805,16.560039999999987,-1.0179790218375186,0.0,-0.29590105337727834,2.4452184754634487
s2_0.50_v1_r0,S2,step 0.50,1,0,,,,ok,5.000000058430487e-08,6.222675892786356e-06,3.3190060612835834,0.34749588300891265,0.0,1.0,0.5074468085106381,0.7971809999999948,-5.089333193583831,0.3177777730865074,7.33733715681506,7.390906523005825
s2_0.50_v1_r1,S2,step 0.50,1,1,,,,ok,5.000000058430487e-08,6.264797775656916e-06,3.018219689762176,0.3156592240116969,0.0,1.01,0.5065999999999999,0.7971809999999948,-4.293518226611729,0.304818146251754,5.230233143693688,5.271764260450944
s2_0.50_v1_r2,S2,step 0.50,1,2,,,,ok,5.000000058430487e-08,6.221727744559757e-06,3.300455185742077,0.3233417851487948,0.0,1.01,0.5091666666666667,0.7971809999999948,-4.709258978940704,0.3036224629813768,6.044876708992696,6.090964117388118
s2_0.50_v2_r0,S2,step 0.50,2,0,,,,ok,5.000000058430487e-08,5.000000058430487e-08,6.736788866595419,1.7911548673176545,0.0,0.47000000000000003,0.46160000000000007,15.397171999999983,-5.1335939011769565,0.0,4.663295698724944,6.1932196837495965
s2_0.50_v2_r1,S2,step 0.50,2,1,,,,ok,5.000000058430487e-08,5.000000058430487e-08,6.363106298156863,1.7721472118893231,1.734723475976807e-18,0.46,0.45979166666666677,15.797844999999995,-4.875517040912693,0.0,3.8068667239467757,5.345606396008414
s2_0.50_v2_r2,S2,step 0.50,2,2,,,,ok,5.000000058430487e-08,5.000000058430487e-08,5.896453399330982,1.7669283476815303,0.0,0.46,0.4594,16.397605,-4.454153220094675,0.0,2.8854320994384395,4.42173220463399
s2_0.50_v3_r0,S2,step 0.50,3,0,,,,ok,,,2.6621995966485854,1.267054174900054,0.25,0.47000000000000003,0.46140000000000003,14.993167,-2.2330521878485414,0.0,1.2553880237961579,2.349598127361432
s2_0.50_v3_r1,S2,step 0.50,3,1,,,,ok,,,2.4778505134926023,1.3152834994775202,0.23375000000000107,0.46,0.4586,16.461745999999977,-1.9505691014164999,0.0,0.11434136341733137,1.5241469345149952
s2_0.50_v3_r2,S2,step 0.50,3,2,,,,ok,,,1.7166325695935067,0.7965474344465403,0.23,0.47000000000000003,0.46249999999999997,14.994833,-1.746015310479543,0.0,0.38635219386874553,1.157616182490031
s2_0.50_v4_r0,S2,step 0.50,4,0,,,,ok,5.000000058430487e-08,3.88929379369074e-07,4.592813272213138,0.44539587363337474,0.0,0.6,0.5019999999999999,3.396974,-4.953012691157057,0.2588814993708148,6.8350496813986865,7.00260932884111
s2_0.50_v4_r1,S2,step 0.50,4,1,,,,ok,5.000000058430487e-08,3.876272671732295e-07,4.821532648742571,0.4485697728975459,0.0,0.61,0.5035416666666666,3.396974,-4.92974010805487,0.26109181825332356,6.57285727594288,6.744659079132035
s2_0.50_v4_r2,S2,step 0.50,4,2,,,,ok,5.000000058430487e-08,3.898377372024697e-07,2.233736832371246,0.08969110701759003,0.0,0.53,0.5,3.9975670000000036,-3.887756767129128,0.18068246674653196,4.991418237247565,4.991418237247565
