# FLOW_HGT_MIN=0.0 inject_on_s=34.632 inject_off_s=40.627 src=00000003.BIN head=84ec31a99d
t_s,VN,VE,alt_m
39.639,0.0090,-0.0291,2.012
39.739,0.0094,-0.0293,2.012
39.839,0.0098,-0.0303,2.012
39.940,0.0104,-0.0308,2.012
40.040,0.0108,-0.0322,2.012
40.140,0.0112,-0.0341,2.012
40.240,-0.2346,0.0215,2.012
40.340,-0.5565,0.0934,2.011
40.440,-0.8566,0.1598,2.011
40.540,-1.1045,0.2163,2.010
40.640,-1.2968,0.2614,2.010
40.740,-1.4419,0.2960,2.010
40.839,-1.5258,0.3170,2.011
40.939,-1.5808,0.3318,2.011
41.039,-1.6159,0.3416,2.011
41.139,-1.6353,0.3465,1.954
41.239,-1.6456,0.3498,1.797
41.339,-1.6500,0.3510,1.544
41.439,-1.6502,0.3512,1.194
41.539,-1.6478,0.3501,0.754
41.639,-1.6433,0.3489,0.219
41.739,-1.8315,0.4213,-0.276
41.839,-2.0312,0.5036,-0.329
41.939,-2.0855,0.5239,-0.171
42.040,-2.0665,0.5128,-0.031
42.140,-2.0443,0.5006,0.019
42.240,-2.0464,0.4976,0.006
42.340,-2.0689,0.5023,-0.023
42.440,-2.0986,0.5099,-0.042
42.540,-2.1268,0.5169,-0.046
42.640,-2.1514,0.5225,-0.043
42.740,-2.1739,0.5273,-0.040
42.840,-2.1962,0.5320,-0.039
42.939,-2.2193,0.5374,-0.039
43.039,-2.2432,0.5432,-0.040
43.139,-2.2675,0.5495,-0.041
43.239,-2.2922,0.5561,-0.041
